,stationCode,station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical,ebike
297,32303,376664868,0,0,"[{'mechanical': 0}, {'ebike': 0}]",27,27,1,1,1,1669293697,0,0
298,42029,2515927759,1,1,"[{'mechanical': 0}, {'ebike': 1}]",24,24,1,1,1,1669293413,0,1
299,8035,205955605,34,34,"[{'mechanical': 21}, {'ebike': 13}]",2,2,1,1,1,1669293665,21,13
300,21313,933214552,23,23,"[{'mechanical': 18}, {'ebike': 5}]",2,2,1,1,1,1669293710,18,5
301,6013,66491370,25,25,"[{'mechanical': 13}, {'ebike': 12}]",1,1,1,1,1,1669293736,13,12
302,28001,353462947,16,16,"[{'mechanical': 15}, {'ebike': 1}]",9,9,1,1,1,1669293717,15,1
303,26007,1559700274,3,3,"[{'mechanical': 1}, {'ebike': 2}]",16,16,1,1,1,1669293538,1,2
304,17102,39217683,7,7,"[{'mechanical': 3}, {'ebike': 4}]",19,19,1,1,1,1669293682,3,4
305,16111,213688824,4,4,"[{'mechanical': 1}, {'ebike': 3}]",27,27,1,1,1,1669293492,1,3
306,7015,82337423,32,32,"[{'mechanical': 15}, {'ebike': 17}]",14,14,1,1,1,1669293677,15,17
307,19005,66491404,2,2,"[{'mechanical': 0}, {'ebike': 2}]",19,19,1,1,1,1669293594,0,2
308,11007,210090269,7,7,"[{'mechanical': 4}, {'ebike': 3}]",54,54,1,1,1,1669293729,4,3
309,15025,66491393,15,15,"[{'mechanical': 15}, {'ebike': 0}]",30,30,1,1,1,1669293634,15,0
310,35018,1062223873,0,0,"[{'mechanical': 0}, {'ebike': 0}]",22,22,1,1,1,1669293532,0,0
311,18110,49085250,2,2,"[{'mechanical': 0}, {'ebike': 2}]",16,16,1,1,1,1669293459,0,2
312,32602,376526598,1,1,"[{'mechanical': 1}, {'ebike': 0}]",46,46,1,1,1,1669293299,1,0
313,12115,27071684,5,5,"[{'mechanical': 3}, {'ebike': 2}]",23,23,1,1,1,1669293409,3,2
314,41606,2515907297,6,6,"[{'mechanical': 3}, {'ebike': 3}]",12,12,1,1,1,1669293355,3,3
315,17011,66491401,27,27,"[{'mechanical': 25}, {'ebike': 2}]",26,26,1,1,1,1669293603,25,2
316,17045,341388492,1,1,"[{'mechanical': 0}, {'ebike': 1}]",44,44,1,1,1,1669293710,0,1
317,43402,985828965,31,31,"[{'mechanical': 31}, {'ebike': 0}]",8,8,1,1,1,1669293732,31,0
318,33018,338762459,6,6,"[{'mechanical': 2}, {'ebike': 4}]",21,21,1,1,1,1669293380,2,4
319,12013,323486248,3,3,"[{'mechanical': 2}, {'ebike': 1}]",11,11,1,1,1,1669293739,2,1
320,10113,66491392,1,1,"[{'mechanical': 0}, {'ebike': 1}]",40,40,1,1,1,1669293728,0,1
321,11009,478952881,0,0,"[{'mechanical': 0}, {'ebike': 0}]",22,22,1,1,1,1669293432,0,0
322,11115,501318622,1,1,"[{'mechanical': 1}, {'ebike': 0}]",21,21,1,1,1,1669293702,1,0
323,21305,38263504,16,16,"[{'mechanical': 10}, {'ebike': 6}]",8,8,1,1,1,1669293657,10,6
324,14021,652120758,3,3,"[{'mechanical': 2}, {'ebike': 1}]",53,53,1,1,1,1669293648,2,1
325,8033,49403716,21,21,"[{'mechanical': 14}, {'ebike': 7}]",4,4,1,1,1,1669293552,14,7
326,16121,470807791,11,11,"[{'mechanical': 8}, {'ebike': 3}]",21,21,1,1,1,1669293737,8,3
327,14117,82445192,3,3,"[{'mechanical': 1}, {'ebike': 2}]",34,34,1,1,1,1669293543,1,2
328,5021,54000544,36,36,"[{'mechanical': 32}, {'ebike': 4}]",1,1,1,1,1,1669293739,32,4
329,23001,568135465,23,23,"[{'mechanical': 17}, {'ebike': 6}]",16,16,1,1,1,1669293667,17,6
330,41102,214102967,1,1,"[{'mechanical': 1}, {'ebike': 0}]",42,42,1,1,1,1669293642,1,0
331,17037,54000597,5,5,"[{'mechanical': 4}, {'ebike': 1}]",16,16,1,1,1,1669293712,4,1
332,18141,2515658032,3,3,"[{'mechanical': 0}, {'ebike': 3}]",15,15,1,1,1,1669293270,0,3
333,11102,82417874,3,3,"[{'mechanical': 1}, {'ebike': 2}]",53,53,1,1,1,1669293571,1,2
334,19004,102319838,4,4,"[{'mechanical': 1}, {'ebike': 3}]",9,9,1,1,1,1669293540,1,3
335,24002,570185777,0,0,"[{'mechanical': 0}, {'ebike': 0}]",0,0,1,0,0,1668078417,0,0
336,16124,652192395,58,58,"[{'mechanical': 56}, {'ebike': 2}]",8,8,1,1,1,1669293738,56,2
337,17042,213691542,0,0,"[{'mechanical': 0}, {'ebike': 0}]",0,0,1,0,0,1658700170,0,0
338,33003,571923059,12,12,"[{'mechanical': 8}, {'ebike': 4}]",36,36,1,1,1,1669293582,8,4
339,20043,66491405,3,3,"[{'mechanical': 0}, {'ebike': 3}]",22,22,1,1,1,1669293719,0,3
340,33009,54000635,27,27,"[{'mechanical': 25}, {'ebike': 2}]",5,5,1,1,1,1669293552,25,2
341,25005,1062179194,0,0,"[{'mechanical': 0}, {'ebike': 0}]",23,23,1,1,1,1669293479,0,0
342,22505,1063017616,2,2,"[{'mechanical': 0}, {'ebike': 2}]",20,20,1,1,1,1669293178,0,2
343,13045,378648513,8,8,"[{'mechanical': 2}, {'ebike': 6}]",27,27,1,1,1,1669293665,2,6
344,19115,27278603,4,4,"[{'mechanical': 2}, {'ebike': 2}]",21,21,1,1,1,1669293553,2,2
345,14034,13497763,1,1,"[{'mechanical': 1}, {'ebike': 0}]",22,22,1,1,1,1669293475,1,0
346,32010,653042442,28,28,"[{'mechanical': 8}, {'ebike': 20}]",12,12,1,1,1,1669293635,8,20
347,16018,49807107,7,7,"[{'mechanical': 5}, {'ebike': 2}]",10,10,1,1,1,1669293546,5,2
348,15010,82450803,6,6,"[{'mechanical': 5}, {'ebike': 1}]",53,53,1,1,1,1669293726,5,1
349,12034,210747224,39,39,"[{'mechanical': 20}, {'ebike': 19}]",8,8,1,1,1,1669293592,20,19
350,7009,210568512,62,62,"[{'mechanical': 37}, {'ebike': 25}]",1,1,1,1,1,1669293692,37,25
351,15033,357409723,5,5,"[{'mechanical': 4}, {'ebike': 1}]",24,24,1,1,1,1669293706,4,1
352,12029,54000571,8,8,"[{'mechanical': 5}, {'ebike': 3}]",46,46,1,1,1,1669293675,5,3
353,33001,473204291,29,29,"[{'mechanical': 18}, {'ebike': 11}]",1,1,1,1,1,1669293679,18,11
354,16034,27363103,6,6,"[{'mechanical': 4}, {'ebike': 2}]",24,24,1,1,1,1669293725,4,2
355,42707,85165045,4,4,"[{'mechanical': 1}, {'ebike': 3}]",20,20,1,1,1,1669293668,1,3
356,20132,85145704,3,3,"[{'mechanical': 2}, {'ebike': 1}]",23,23,1,1,1,1669293724,2,1
357,5114,653044270,0,0,"[{'mechanical': 0}, {'ebike': 0}]",15,15,1,1,1,1669293735,0,0
